v-sweep	v(v1)	v(v2)	v(vout)
0.15	0.15	0.3	0.00313652478
0.16	0.16	0.3	0.00323326309
0.17	0.17	0.3	0.00357647896
0.18	0.18	0.3	0.0040292141
0.19	0.19	0.3	0.00457133056
0.2	0.2	0.3	0.00526032539
0.21	0.21	0.3	0.00687515064
0.22	0.22	0.3	0.00947999623
0.23	0.23	0.3	0.0126412529
0.24	0.24	0.3	0.0163811239
0.25	0.25	0.3	0.0208656159
0.26	0.26	0.3	0.0265076103
0.27	0.27	0.3	0.0340562469
0.28	0.28	0.3	0.0456330997
0.29	0.29	0.3	0.0699151265
0.3	0.3	0.3	0.99471629
0.31	0.31	0.3	1.75479766
0.32	0.32	0.3	1.769905
0.33	0.33	0.3	1.77842983
0.34	0.34	0.3	1.78301149
0.35	0.35	0.3	1.7864629
0.36	0.36	0.3	1.78924563
0.37	0.37	0.3	1.79141451
0.38	0.38	0.3	1.79312294
0.39	0.39	0.3	1.79448445
0.4	0.4	0.3	1.79557496
0.41	0.41	0.3	1.79644946
0.42	0.42	0.3	1.79714957
0.43	0.43	0.3	1.79770777
0.44	0.44	0.3	1.79815011
0.45	0.45	0.3	1.79849794
0.46	0.46	0.3	1.79876914
0.47	0.47	0.3	1.79897873
0.48	0.48	0.3	1.79913937
0.49	0.49	0.3	1.79926163
0.5	0.5	0.3	1.79935414
0.51	0.51	0.3	1.79942385
0.52	0.52	0.3	1.79947621
0.53	0.53	0.3	1.79951549
0.54	0.54	0.3	1.79954489
0.55	0.55	0.3	1.79956687
0.56	0.56	0.3	1.79958329
0.57	0.57	0.3	1.79959552
0.58	0.58	0.3	1.79960464
0.59	0.59	0.3	1.79961141
0.6	0.6	0.3	1.79961642
0.61	0.61	0.3	1.79962014
0.62	0.62	0.3	1.79962289
0.63	0.63	0.3	1.79962492
0.64	0.64	0.3	1.79962641
0.65	0.65	0.3	1.79962751
0.66	0.66	0.3	1.79962831
0.67	0.67	0.3	1.7996289
0.68	0.68	0.3	1.79962934
0.69	0.69	0.3	1.79962965
0.7	0.7	0.3	1.79962988
0.71	0.71	0.3	1.79963005
0.72	0.72	0.3	1.79963018
0.73	0.73	0.3	1.79963027
0.74	0.74	0.3	1.79963033
0.75	0.75	0.3	1.79963038
0.76	0.76	0.3	1.79963041
0.77	0.77	0.3	1.79963044
0.78	0.78	0.3	1.79963046
0.79	0.79	0.3	1.79963047
0.8	0.8	0.3	1.79963048
0.81	0.81	0.3	1.79963049
0.82	0.82	0.3	1.7996305
0.83	0.83	0.3	1.7996305
0.84	0.84	0.3	1.7996305
0.85	0.85	0.3	1.79963051
0.86	0.86	0.3	1.79963051
0.87	0.87	0.3	1.79963051
0.88	0.88	0.3	1.7996305
0.89	0.89	0.3	1.79963051
0.9	0.9	0.3	1.79963051
0.91	0.91	0.3	1.79963051
0.92	0.92	0.3	1.79963051
0.93	0.93	0.3	1.79963051
0.94	0.94	0.3	1.79963051
0.95	0.95	0.3	1.79963051
0.96	0.96	0.3	1.79963051
0.97	0.97	0.3	1.79963051
0.98	0.98	0.3	1.79963051
0.99	0.99	0.3	1.79963051
1	1	0.3	1.79963051
1.01	1.01	0.3	1.79963051
1.02	1.02	0.3	1.79963051
1.03	1.03	0.3	1.79963051
1.04	1.04	0.3	1.79963051
1.05	1.05	0.3	1.79963051
1.06	1.06	0.3	1.79963051
1.07	1.07	0.3	1.79963051
1.08	1.08	0.3	1.79963051
1.09	1.09	0.3	1.79963051
1.1	1.1	0.3	1.79963051
1.11	1.11	0.3	1.79963051
1.12	1.12	0.3	1.79963051
1.13	1.13	0.3	1.79963051
1.14	1.14	0.3	1.79963051
1.15	1.15	0.3	1.79963051
1.16	1.16	0.3	1.79963051
1.17	1.17	0.3	1.79963051
1.18	1.18	0.3	1.79963051
1.19	1.19	0.3	1.79963051
1.2	1.2	0.3	1.79963051
1.21	1.21	0.3	1.79963051
1.22	1.22	0.3	1.79963051
1.23	1.23	0.3	1.79963051
1.24	1.24	0.3	1.79963051
1.25	1.25	0.3	1.79963051
1.26	1.26	0.3	1.79963051
1.27	1.27	0.3	1.79963051
1.28	1.28	0.3	1.79963051
1.29	1.29	0.3	1.79963051
1.3	1.3	0.3	1.79963051
1.31	1.31	0.3	1.79963051
1.32	1.32	0.3	1.79963051
1.33	1.33	0.3	1.79963051
1.34	1.34	0.3	1.79963051
1.35	1.35	0.3	1.79963051
1.36	1.36	0.3	1.79963051
1.37	1.37	0.3	1.79963051
1.38	1.38	0.3	1.79963051
1.39	1.39	0.3	1.79963051
1.4	1.4	0.3	1.79963051
1.41	1.41	0.3	1.79963051
1.42	1.42	0.3	1.79963051
1.43	1.43	0.3	1.79963051
1.44	1.44	0.3	1.79963051
1.45	1.45	0.3	1.79963051
1.46	1.46	0.3	1.79963051
1.47	1.47	0.3	1.79963051
1.48	1.48	0.3	1.79963051
1.49	1.49	0.3	1.79963051
1.5	1.5	0.3	1.79963051
1.51	1.51	0.3	1.79963051
1.52	1.52	0.3	1.79963051
1.53	1.53	0.3	1.79963051
1.54	1.54	0.3	1.79963051
1.55	1.55	0.3	1.79963051
1.56	1.56	0.3	1.79963051
1.57	1.57	0.3	1.79963051
1.58	1.58	0.3	1.79963051
1.59	1.59	0.3	1.79963051
1.6	1.6	0.3	1.79963051
1.61	1.61	0.3	1.79963051
1.62	1.62	0.3	1.79963051
1.63	1.63	0.3	1.79963051
1.64	1.64	0.3	1.79963051
1.65	1.65	0.3	1.79963051
1.66	1.66	0.3	1.79963051
1.67	1.67	0.3	1.79963051
1.68	1.68	0.3	1.79963051
1.69	1.69	0.3	1.79963051
1.7	1.7	0.3	1.79963051
1.71	1.71	0.3	1.79963051
1.72	1.72	0.3	1.79963051
1.73	1.73	0.3	1.79963051
1.74	1.74	0.3	1.79963051
1.75	1.75	0.3	1.79963051
1.76	1.76	0.3	1.79963051
1.77	1.77	0.3	1.79963051
1.78	1.78	0.3	1.79963051
1.79	1.79	0.3	1.79963051
1.8	1.8	0.3	1.79963051
0	0	0.6	1.92682729E-06
0.01	0.01	0.6	1.9277577E-06
0.02	0.02	0.6	1.92760506E-06
0.03	0.03	0.6	1.92727825E-06
0.04	0.04	0.6	1.92816747E-06
0.05	0.05	0.6	1.93056356E-06
0.06	0.06	0.6	1.92898494E-06
0.07	0.07	0.6	1.92852601E-06
0.08	0.08	0.6	1.93028559E-06
0.09	0.09	0.6	1.93482606E-06
0.1	0.1	0.6	1.93433973E-06
0.11	0.11	0.6	1.93402608E-06
0.12	0.12	0.6	1.93918818E-06
0.13	0.13	0.6	1.94129097E-06
0.14	0.14	0.6	1.9472623E-06
0.15	0.15	0.6	1.95386049E-06
0.16	0.16	0.6	1.96540466E-06
0.17	0.17	0.6	2.00661272E-06
0.18	0.18	0.6	2.16851395E-06
0.19	0.19	0.6	2.41024493E-06
0.2	0.2	0.6	2.74026779E-06
0.21	0.21	0.6	3.18498949E-06
0.22	0.22	0.6	3.8259406E-06
0.23	0.23	0.6	5.18909748E-06
0.24	0.24	0.6	9.89664126E-06
0.25	0.25	0.6	2.52438093E-05
0.26	0.26	0.6	6.09120976E-05
0.27	0.27	0.6	0.000119412191
0.28	0.28	0.6	0.000193258038
0.29	0.29	0.6	0.000272940386
0.3	0.3	0.6	0.000351784035
0.31	0.31	0.6	0.000429673289
0.32	0.32	0.6	0.000505946747
0.33	0.33	0.6	0.000582644773
0.34	0.34	0.6	0.000662877527
0.35	0.35	0.6	0.000750389338
0.36	0.36	0.6	0.000849580653
0.37	0.37	0.6	0.000965650754
0.38	0.38	0.6	0.0011047273
0.39	0.39	0.6	0.00127411403
0.4	0.4	0.6	0.00148250623
0.41	0.41	0.6	0.0017402021
0.42	0.42	0.6	0.00205935334
0.43	0.43	0.6	0.00245421153
0.44	0.44	0.6	0.00294132553
0.45	0.45	0.6	0.00353982323
0.46	0.46	0.6	0.00427175482
0.47	0.47	0.6	0.0051625547
0.48	0.48	0.6	0.00624177239
0.49	0.49	0.6	0.0075441748
0.5	0.5	0.6	0.00911154851
0.51	0.51	0.6	0.0109956621
0.52	0.52	0.6	0.0132633058
0.53	0.53	0.6	0.0160054141
0.54	0.54	0.6	0.0193545526
0.55	0.55	0.6	0.0235216252
0.56	0.56	0.6	0.0288816092
0.57	0.57	0.6	0.0362944595
0.58	0.58	0.6	0.0478321032
0.59	0.59	0.6	0.0722143066
0.6	0.6	0.6	0.99049353
0.61	0.61	0.6	1.75111612
0.62	0.62	0.6	1.76711706
0.63	0.63	0.6	1.77601452
0.64	0.64	0.6	1.78067624
0.65	0.65	0.6	1.78423466
0.66	0.66	0.6	1.78714521
0.67	0.67	0.6	1.78942244
0.68	0.68	0.6	1.79122292
0.69	0.69	0.6	1.79266448
0.7	0.7	0.6	1.79382566
0.71	0.71	0.6	1.79476347
0.72	0.72	0.6	1.79552123
0.73	0.73	0.6	1.7961327
0.74	0.74	0.6	1.79662477
0.75	0.75	0.6	1.7970193
0.76	0.76	0.6	1.79733422
0.77	0.77	0.6	1.79758433
0.78	0.78	0.6	1.79778196
0.79	0.79	0.6	1.79793727
0.8	0.8	0.6	1.79805867
0.81	0.81	0.6	1.79815305
0.82	0.82	0.6	1.79822604
0.83	0.83	0.6	1.7982822
0.84	0.84	0.6	1.79832521
0.85	0.85	0.6	1.79835798
0.86	0.86	0.6	1.79838284
0.87	0.87	0.6	1.79840164
0.88	0.88	0.6	1.79841577
0.89	0.89	0.6	1.79842638
0.9	0.9	0.6	1.79843432
0.91	0.91	0.6	1.79844024
0.92	0.92	0.6	1.79844464
0.93	0.93	0.6	1.7984479
0.94	0.94	0.6	1.79845032
0.95	0.95	0.6	1.79845211
0.96	0.96	0.6	1.79845343
0.97	0.97	0.6	1.7984544
0.98	0.98	0.6	1.79845512
0.99	0.99	0.6	1.79845565
1	1	0.6	1.79845603
1.01	1.01	0.6	1.79845632
1.02	1.02	0.6	1.79845653
1.03	1.03	0.6	1.79845668
1.04	1.04	0.6	1.79845679
1.05	1.05	0.6	1.79845687
1.06	1.06	0.6	1.79845693
1.07	1.07	0.6	1.79845698
1.08	1.08	0.6	1.79845701
1.09	1.09	0.6	1.79845704
1.1	1.1	0.6	1.79845705
1.11	1.11	0.6	1.79845707
1.12	1.12	0.6	1.79845708
1.13	1.13	0.6	1.79845708
1.14	1.14	0.6	1.79845709
1.15	1.15	0.6	1.79845709
1.16	1.16	0.6	1.79845709
1.17	1.17	0.6	1.7984571
1.18	1.18	0.6	1.7984571
1.19	1.19	0.6	1.7984571
1.2	1.2	0.6	1.7984571
1.21	1.21	0.6	1.7984571
1.22	1.22	0.6	1.7984571
1.23	1.23	0.6	1.7984571
1.24	1.24	0.6	1.7984571
1.25	1.25	0.6	1.7984571
1.26	1.26	0.6	1.7984571
1.27	1.27	0.6	1.7984571
1.28	1.28	0.6	1.7984571
1.29	1.29	0.6	1.7984571
1.3	1.3	0.6	1.7984571
1.31	1.31	0.6	1.7984571
1.32	1.32	0.6	1.7984571
1.33	1.33	0.6	1.7984571
1.34	1.34	0.6	1.7984571
1.35	1.35	0.6	1.7984571
1.36	1.36	0.6	1.7984571
1.37	1.37	0.6	1.7984571
1.38	1.38	0.6	1.7984571
1.39	1.39	0.6	1.7984571
1.4	1.4	0.6	1.7984571
1.41	1.41	0.6	1.7984571
1.42	1.42	0.6	1.7984571
1.43	1.43	0.6	1.7984571
1.44	1.44	0.6	1.7984571
1.45	1.45	0.6	1.7984571
1.46	1.46	0.6	1.7984571
1.47	1.47	0.6	1.7984571
1.48	1.48	0.6	1.7984571
1.49	1.49	0.6	1.7984571
1.5	1.5	0.6	1.7984571
1.51	1.51	0.6	1.7984571
1.52	1.52	0.6	1.7984571
1.53	1.53	0.6	1.7984571
1.54	1.54	0.6	1.7984571
1.55	1.55	0.6	1.7984571
1.56	1.56	0.6	1.7984571
1.57	1.57	0.6	1.7984571
1.58	1.58	0.6	1.7984571
1.59	1.59	0.6	1.7984571
1.6	1.6	0.6	1.7984571
1.61	1.61	0.6	1.7984571
1.62	1.62	0.6	1.7984571
1.63	1.63	0.6	1.7984571
1.64	1.64	0.6	1.7984571
1.65	1.65	0.6	1.7984571
1.66	1.66	0.6	1.7984571
1.67	1.67	0.6	1.7984571
1.68	1.68	0.6	1.7984571
1.69	1.69	0.6	1.7984571
1.7	1.7	0.6	1.7984571
1.71	1.71	0.6	1.7984571
1.72	1.72	0.6	1.7984571
1.73	1.73	0.6	1.7984571
1.74	1.74	0.6	1.7984571
1.75	1.75	0.6	1.7984571
1.76	1.76	0.6	1.7984571
1.77	1.77	0.6	1.7984571
1.78	1.78	0.6	1.7984571
1.79	1.79	0.6	1.7984571
1.8	1.8	0.6	1.7984571
0	0	0.9	1.14225449E-06
0.01	0.01	0.9	1.14273546E-06
0.02	0.02	0.9	1.14227421E-06
0.03	0.03	0.9	1.14219365E-06
0.04	0.04	0.9	1.14317695E-06
0.05	0.05	0.9	1.14059275E-06
0.06	0.06	0.9	1.1408335E-06
0.07	0.07	0.9	1.14306682E-06
0.08	0.08	0.9	1.14256425E-06
0.09	0.09	0.9	1.14344333E-06
0.1	0.1	0.9	1.13883365E-06
