frequency	mag	phase
6309573.44	-34.3641887	-147.727132
7079457.84	-36.0855791	-154.37619
7943282.35	-37.986965	-161.488639
8912509.38	-40.1092583	-169.023137
10000000	-42.5029079	-176.925013
11220184.5	-45.2338877	-185.1462
12589254.1	-48.3974959	-193.691598
14125375.4	-52.1510456	-202.735626
15848931.9	-56.7995479	-213.002965
17782794.1	-63.0617204	-227.636265
19952623.1	-72.3808091	-269.019865
22387211.4	-71.4926171	-358.610983
25118864.3	-67.2197692	-381.272461
28183829.3	-65.433301	-388.224742
31622776.6	-64.7135125	-390.236197
35481338.9	-64.4562146	-389.565278
39810717.1	-64.3691588	-387.294454
44668359.2	-64.3104268	-384.220383
50118723.4	-64.2256257	-380.936721
56234132.5	-64.1076033	-377.818328
63095734.4	-63.9681504	-375.048213
70794578.4	-63.821983	-372.678747
79432823.5	-63.6803526	-370.691638
89125093.8	-63.5499451	-369.039367
100000000	-63.4337951	-367.668084
112201845	-63.3325628	-366.528001
125892541	-63.2455793	-365.576885
141253754	-63.1715517	-364.780299
158489319	-63.108981	-364.110565
177827941	-63.0563825	-363.545444
199526231	-63.012384	-363.066933
223872114	-62.9757564	-362.660316
251188643	-62.9454133	-362.313471
281838293	-62.9203995	-362.016368
316227766	-62.899878	-361.760696
354813389	-62.8831189	-361.53958
398107171	-62.8694903	-361.34734
446683592	-62.8584495	-361.179292
501187234	-62.8495347	-361.031569
562341325	-62.8423571	-360.900972
630957344	-62.836592	-360.784839
707945784	-62.8319705	-360.680942
794328235	-62.8282714	-360.587398
891250938	-62.8253142	-360.502594
1000000000	-62.8229519	-360.42514
1122018450	-62.8210655	-360.353813
1258925410	-62.8195589	-360.287528
1412537540	-62.8183546	-360.225306
1584893190	-62.8173904	-360.16625
1778279410	-62.8166159	-360.109525
1995262310	-62.8159906	-360.054343
2238721140	-62.8154818	-359.999945
2511886430	-62.8150626	-359.945592
2818382930	-62.8147108	-359.890549
3162277660	-62.8144079	-359.834078
3548133890	-62.8141378	-359.775422
3981071710	-62.8138861	-359.7138
4466835920	-62.8136395	-359.648391
5011872340	-62.8133849	-359.578326
5623413250	-62.8131087	-359.502676
6309573440	-62.8127962	-359.420437
7079457840	-62.8124308	-359.330522
7943282350	-62.8119931	-359.23174
8912509380	-62.8114599	-359.122788
10000000000	-62.8108026	-359.002229
11220184500	-62.8099866	-358.868477
12589254100	-62.8089683	-358.719775
14125375400	-62.8076938	-358.554176
15848931900	-62.8060957	-358.369522
17782794100	-62.8040892	-358.163413
19952623100	-62.8015685	-357.933191
22387211400	-62.7984005	-357.675905
25118864300	-62.7944188	-357.38829
28183829300	-62.7894146	-357.066739
31622776600	-62.7831267	-356.707278
35481338900	-62.7752287	-356.305552
39810717100	-62.7653131	-355.856811
