 frequency       mag             phase          
 1.25892541e+05 -1.96451798e+00 -3.82559608e+01 
 1.41253754e+05 -2.35465077e+00 -4.16210864e+01 
 1.58489319e+05 -2.80075567e+00 -4.50660588e+01 
 1.77827941e+05 -3.30426369e+00 -4.85510116e+01 
 1.99526231e+05 -3.86512835e+00 -5.20350893e+01 
 2.23872114e+05 -4.48183496e+00 -5.54792831e+01 
 2.51188643e+05 -5.15155891e+00 -5.88490317e+01 
 2.81838293e+05 -5.87044006e+00 -6.21162274e+01 
 3.16227766e+05 -6.63392220e+00 -6.52604139e+01 
 3.54813389e+05 -7.43710261e+00 -6.82691600e+01 
 3.98107171e+05 -8.27504546e+00 -7.11377296e+01 
 4.46683592e+05 -9.14303225e+00 -7.38682693e+01 
 5.01187234e+05 -1.00367401e+01 -7.64687438e+01 
 5.62341325e+05 -1.09523516e+01 -7.89518069e+01 
 6.30957344e+05 -1.18866100e+01 -8.13337561e+01 
 7.07945784e+05 -1.28368342e+01 -8.36336403e+01 
 7.94328235e+05 -1.38009111e+01 -8.58725581e+01 
 8.91250938e+05 -1.47772757e+01 -8.80731446e+01 
 1.00000000e+06 -1.57648911e+01 -9.02592238e+01 
 1.12201845e+06 -1.67632347e+01 -9.24556027e+01 
 1.25892541e+06 -1.77722978e+01 -9.46879695e+01 
 1.41253754e+06 -1.87926009e+01 -9.69828695e+01 
 1.58489319e+06 -1.98252306e+01 -9.93677229e+01 
 1.77827941e+06 -2.08719012e+01 -1.01870857e+02 
 1.99526231e+06 -2.19350460e+01 -1.04521516e+02 
 2.23872114e+06 -2.30179421e+01 -1.07349807e+02 
 2.51188643e+06 -2.41248774e+01 -1.10386521e+02 
 2.81838293e+06 -2.52613662e+01 -1.13662763e+02 
 3.16227766e+06 -2.64344191e+01 -1.17209254e+02 
 3.54813389e+06 -2.76528745e+01 -1.21055174e+02 
 3.98107171e+06 -2.89277896e+01 -1.25226320e+02 
 4.46683592e+06 -3.02728818e+01 -1.29742357e+02 
 5.01187234e+06 -3.17049938e+01 -1.34612874e+02 
 5.62341325e+06 -3.32445413e+01 -1.39832126e+02 
 6.30957344e+06 -3.49158909e+01 -1.45372485e+02 
 7.07945784e+06 -3.67476499e+01 -1.51177138e+02 
 7.94328235e+06 -3.87729729e+01 -1.57153189e+02 
 8.91250938e+06 -4.10303165e+01 -1.63166849e+02 
 1.00000000e+07 -4.35657479e+01 -1.69042167e+02 
 1.12201845e+07 -4.64393092e+01 -1.74562396e+02 
 1.25892541e+07 -4.97411235e+01 -1.79465987e+02 
 1.41253754e+07 -5.36323707e+01 -1.83407878e+02 
 1.58489319e+07 -5.84638688e+01 -1.85764864e+02 
 1.77827941e+07 -6.52454639e+01 -1.84437960e+02 
 1.99526231e+07 -7.90447413e+01 -1.51686626e+02 
 2.23872114e+07 -7.22153663e+01 -3.32642238e+01 
 2.51188643e+07 -6.69140732e+01 -2.47839967e+01 
 2.81838293e+07 -6.45545543e+01 -2.14488938e+01 
 3.16227766e+07 -6.32207099e+01 -1.88054594e+01 
 3.54813389e+07 -6.23544152e+01 -1.63835828e+01 
 3.98107171e+07 -6.17365714e+01 -1.42048097e+01 
 4.46683592e+07 -6.12717088e+01 -1.23185738e+01 
 5.01187234e+07 -6.09137815e+01 -1.07240205e+01 
 5.62341325e+07 -6.06364234e+01 -9.38392899e+00 
 6.30957344e+07 -6.04214770e+01 -8.24996623e+00 
 7.07945784e+07 -6.02549785e+01 -7.27800296e+00 
 7.94328235e+07 -6.01258212e+01 -6.43353172e+00 
 8.91250938e+07 -6.00252143e+01 -5.69164756e+00 
 1.00000000e+08 -5.99463204e+01 -5.03501079e+00 
 1.12201845e+08 -5.98839199e+01 -4.45154207e+00 
 1.25892541e+08 -5.98340931e+01 -3.93251586e+00 
 1.41253754e+08 -5.97939327e+01 -3.47119355e+00 
 1.58489319e+08 -5.97612982e+01 -3.06193458e+00 
 1.77827941e+08 -5.97346130e+01 -2.69967661e+00 
 1.99526231e+08 -5.97127065e+01 -2.37967543e+00 
 2.23872114e+08 -5.96946928e+01 -2.09741435e+00 
 2.51188643e+08 -5.96798848e+01 -1.84860886e+00 
 2.81838293e+08 -5.96677337e+01 -1.62925105e+00 
 3.16227766e+08 -5.96577903e+01 -1.43565750e+00 
 3.54813389e+08 -5.96496802e+01 -1.26450092e+00 
 3.98107171e+08 -5.96430881e+01 -1.11281894e+00 
 4.46683592e+08 -5.96377477e+01 -9.78002276e-01 
 5.01187234e+08 -5.96334345e+01 -8.57768218e-01 
 5.62341325e+08 -5.96299604e+01 -7.50125565e-01 
 6.30957344e+08 -5.96271685e+01 -6.53336831e-01 
 7.07945784e+08 -5.96249291e+01 -5.65880957e-01 
 7.94328235e+08 -5.96231354e+01 -4.86419094e-01 
 8.91250938e+08 -5.96217000e+01 -4.13764146e-01 
 1.00000000e+09 -5.96205519e+01 -3.46854294e-01 
 1.12201845e+09 -5.96196334e+01 -2.84730331e-01 
 1.25892541e+09 -5.96188978e+01 -2.26516108e-01 
 1.41253754e+09 -5.96183073e+01 -1.71401759e-01 
 1.58489319e+09 -5.96178313e+01 -1.18629075e-01 
 1.77827941e+09 -5.96174452e+01 -6.74785618e-02 
 1.99526231e+09 -5.96171287e+01 -1.72577627e-02 
 2.23872114e+09 -5.96168653e+01  3.27094611e-02 
 2.51188643e+09 -5.96166409e+01  8.30930005e-02 
 2.81838293e+09 -5.96164439e+01  1.34566189e-01 
 3.16227766e+09 -5.96162636e+01  1.87815289e-01 
 3.54813389e+09 -5.96160907e+01  2.43548974e-01 
 3.98107171e+09 -5.96159158e+01  3.02507972e-01 
 4.46683592e+09 -5.96157297e+01  3.65475048e-01 
 5.01187234e+09 -5.96155225e+01  4.33285423e-01 
 5.62341325e+09 -5.96152832e+01  5.06837828e-01 
 6.30957344e+09 -5.96149991e+01  5.87106295e-01 
 7.07945784e+09 -5.96146550e+01  6.75152847e-01 
 7.94328235e+09 -5.96142326e+01  7.72141218e-01 
 8.91250938e+09 -5.96137094e+01  8.79351745e-01 
 1.00000000e+10 -5.96130578e+01  9.98197553e-01 
 1.12201845e+10 -5.96122430e+01  1.13024218e+00 
 1.25892541e+10 -5.96112218e+01  1.27721868e+00 
 1.41253754e+10 -5.96099400e+01  1.44105038e+00 
 1.58489319e+10 -5.96083297e+01  1.62387310e+00 
 1.77827941e+10 -5.96063058e+01  1.82805904e+00 
 1.99526231e+10 -5.96037612e+01  2.05624173e+00 
 2.23872114e+10 -5.96005619e+01  2.31134205e+00 
 2.51188643e+10 -5.95965396e+01  2.59659428e+00 
 2.81838293e+10 -5.95914836e+01  2.91557118e+00 
 3.16227766e+10 -5.95851299e+01  3.27220658e+00 
 3.54813389e+10 -5.95771488e+01  3.67081264e+00 
 3.98107171e+10 -5.95671286e+01  4.11608862e+00 
 4.46683592e+10 -5.95545569e+01  4.61311572e+00 
 5.01187234e+10 -5.95387974e+01  5.16733131e+00 
 5.62341325e+10 -5.95190631e+01  5.78447276e+00 
 6.30957344e+10 -5.94943847e+01  6.47047850e+00 
 7.07945784e+10 -5.94635756e+01  7.23132969e+00 
 7.94328235e+10 -5.94251932e+01  8.07281247e+00 
 8.91250938e+10 -5.93775004e+01  9.00017658e+00 
 1.00000000e+11 -5.93184292e+01  1.00176640e+01 
 1.12201845e+11 -5.92455543e+01  1.11278825e+01 
 1.25892541e+11 -5.91560853e+01  1.23310069e+01 
 1.41253754e+11 -5.90468900e+01  1.36238078e+01 
 1.58489319e+11 -5.89145653e+01  1.49985433e+01 
 1.77827941e+11 -5.87555726e+01  1.64418002e+01 
 1.99526231e+11 -5.85664532e+01  1.79334411e+01 
 2.23872114e+11 -5.83441307e+01  1.94458935e+01 
 2.51188643e+11 -5.80862926e+01  2.09440822e+01 
 2.81838293e+11 -5.77918153e+01  2.23863154e+01 
 3.16227766e+11 -5.74611723e+01  2.37263598e+01 
 3.54813389e+11 -5.70967386e+01  2.49167317e+01 
 3.98107171e+11 -5.67028976e+01  2.59129278e+01 
 4.46683592e+11 -5.62858812e+01  2.66779751e+01 
 5.01187234e+11 -5.58533248e+01  2.71864361e+01 
 5.62341325e+11 -5.54135920e+01  2.74269926e+01 
 6.30957344e+11 -5.49749915e+01  2.74029990e+01 
 7.07945784e+11 -5.45450427e+01  2.71309021e+01 
 7.94328235e+11 -5.41299309e+01  2.66369672e+01 
 8.91250938e+11 -5.37342352e+01  2.59531434e+01 
 1.00000000e+12 -5.33609362e+01  2.51130002e+01 
