 v-sweep         v(v1)           v(v2)           v(vout)        
 8.30000000e-01  8.30000000e-01  0.00000000e+00  1.79988930e+00 
 8.40000000e-01  8.40000000e-01  0.00000000e+00  1.79988930e+00 
 8.50000000e-01  8.50000000e-01  0.00000000e+00  1.79988930e+00 
 8.60000000e-01  8.60000000e-01  0.00000000e+00  1.79988930e+00 
 8.70000000e-01  8.70000000e-01  0.00000000e+00  1.79988930e+00 
 8.80000000e-01  8.80000000e-01  0.00000000e+00  1.79988930e+00 
 8.90000000e-01  8.90000000e-01  0.00000000e+00  1.79988930e+00 
 9.00000000e-01  9.00000000e-01  0.00000000e+00  1.79988929e+00 
 9.10000000e-01  9.10000000e-01  0.00000000e+00  1.79988930e+00 
 9.20000000e-01  9.20000000e-01  0.00000000e+00  1.79988930e+00 
 9.30000000e-01  9.30000000e-01  0.00000000e+00  1.79988930e+00 
 9.40000000e-01  9.40000000e-01  0.00000000e+00  1.79988930e+00 
 9.50000000e-01  9.50000000e-01  0.00000000e+00  1.79988930e+00 
 9.60000000e-01  9.60000000e-01  0.00000000e+00  1.79988930e+00 
 9.70000000e-01  9.70000000e-01  0.00000000e+00  1.79988930e+00 
 9.80000000e-01  9.80000000e-01  0.00000000e+00  1.79988929e+00 
 9.90000000e-01  9.90000000e-01  0.00000000e+00  1.79988930e+00 
 1.00000000e+00  1.00000000e+00  0.00000000e+00  1.79988930e+00 
 1.01000000e+00  1.01000000e+00  0.00000000e+00  1.79988930e+00 
 1.02000000e+00  1.02000000e+00  0.00000000e+00  1.79988930e+00 
 1.03000000e+00  1.03000000e+00  0.00000000e+00  1.79988930e+00 
 1.04000000e+00  1.04000000e+00  0.00000000e+00  1.79988930e+00 
 1.05000000e+00  1.05000000e+00  0.00000000e+00  1.79988930e+00 
 1.06000000e+00  1.06000000e+00  0.00000000e+00  1.79988929e+00 
 1.07000000e+00  1.07000000e+00  0.00000000e+00  1.79988930e+00 
 1.08000000e+00  1.08000000e+00  0.00000000e+00  1.79988930e+00 
 1.09000000e+00  1.09000000e+00  0.00000000e+00  1.79988930e+00 
 1.10000000e+00  1.10000000e+00  0.00000000e+00  1.79988930e+00 
 1.11000000e+00  1.11000000e+00  0.00000000e+00  1.79988930e+00 
 1.12000000e+00  1.12000000e+00  0.00000000e+00  1.79988930e+00 
 1.13000000e+00  1.13000000e+00  0.00000000e+00  1.79988930e+00 
 1.14000000e+00  1.14000000e+00  0.00000000e+00  1.79988930e+00 
 1.15000000e+00  1.15000000e+00  0.00000000e+00  1.79988930e+00 
 1.16000000e+00  1.16000000e+00  0.00000000e+00  1.79988930e+00 
 1.17000000e+00  1.17000000e+00  0.00000000e+00  1.79988930e+00 
 1.18000000e+00  1.18000000e+00  0.00000000e+00  1.79988930e+00 
 1.19000000e+00  1.19000000e+00  0.00000000e+00  1.79988930e+00 
 1.20000000e+00  1.20000000e+00  0.00000000e+00  1.79988930e+00 
 1.21000000e+00  1.21000000e+00  0.00000000e+00  1.79988930e+00 
 1.22000000e+00  1.22000000e+00  0.00000000e+00  1.79988930e+00 
 1.23000000e+00  1.23000000e+00  0.00000000e+00  1.79988930e+00 
 1.24000000e+00  1.24000000e+00  0.00000000e+00  1.79988930e+00 
