frequency	Tmag	Tphase
31622776.6	-55.1789005	-182.336881
35481338.9	-56.4920794	-190.120933
39810717.1	-57.8281603	-198.081884
44668359.2	-59.1623386	-206.183552
50118723.4	-60.4733594	-214.399498
56234132.5	-61.7429579	-222.700721
63095734.4	-62.9554919	-231.050247
70794578.4	-64.0978738	-239.401722
79432823.5	-65.1596989	-247.700286
89125093.8	-66.1334213	-255.884876
100000000	-67.0144634	-263.891402
112201845	-67.8011886	-271.656412
125892541	-68.4947121	-279.120791
141253754	-69.0985576	-286.233067
158489319	-69.6181941	-292.951952
177827941	-70.0605037	-299.247859
199526231	-70.4332373	-305.103314
223872114	-70.7445102	-310.512348
251188643	-71.002376	-315.47914
281838293	-71.214501	-320.016177
316227766	-71.3879432	-324.142261
354813389	-71.5290254	-327.880587
398107171	-71.6432862	-331.257041
446683592	-71.7354891	-334.298809
501187234	-71.8096689	-337.033289
562341325	-71.8692014	-339.487298
630957344	-71.9168826	-341.686532
707945784	-71.9550092	-343.655216
794328235	-71.9854555	-345.415906
891250938	-72.0097427	-346.98941
1000000000	-72.0290998	-348.394781
1122018450	-72.044517	-349.649363
1258925410	-72.0567892	-350.768875
1412537540	-72.0665535	-351.767512
1584893190	-72.0743192	-352.658055
1778279410	-72.0804934	-353.451988
1995262310	-72.0854005	-354.15961
2238721140	-72.0892993	-354.790141
2511886430	-72.0923958	-355.35183
2818382930	-72.0948536	-355.852046
3162277660	-72.0968032	-356.297367
3548133890	-72.0983477	-356.69366
3981071710	-72.0995694	-357.046152
4466835920	-72.1005329	-357.359502
5011872340	-72.1012896	-357.637852
5623413250	-72.1018796	-357.884886
6309573440	-72.1023344	-358.103875
7079457840	-72.1026782	-358.297721
7943282350	-72.1029292	-358.468993
8912509380	-72.1031008	-358.619965
10000000000	-72.1032023	-358.752642
11220184500	-72.103239	-358.868787
12589254100	-72.1032129	-358.969948
14125375400	-72.1031229	-359.057476
15848931900	-72.1029642	-359.132546
17782794100	-72.1027289	-359.196173
19952623100	-72.1024048	-359.24923
22387211400	-72.1019756	-359.292458
