 v-sweep         v(V2)           v(Vout)        
 1.09000000e-01  0.00000000e+00  1.79692283e+00 
 1.10000000e-01  0.00000000e+00  1.79700130e+00 
 1.11000000e-01  0.00000000e+00  1.79707799e+00 
 1.12000000e-01  0.00000000e+00  1.79715292e+00 
 1.13000000e-01  0.00000000e+00  1.79722614e+00 
 1.14000000e-01  0.00000000e+00  1.79729769e+00 
 1.15000000e-01  0.00000000e+00  1.79736759e+00 
 1.16000000e-01  0.00000000e+00  1.79743587e+00 
 1.17000000e-01  0.00000000e+00  1.79750258e+00 
 1.18000000e-01  0.00000000e+00  1.79756773e+00 
 1.19000000e-01  0.00000000e+00  1.79763137e+00 
 1.20000000e-01  0.00000000e+00  1.79769352e+00 
 1.21000000e-01  0.00000000e+00  1.79775420e+00 
 1.22000000e-01  0.00000000e+00  1.79781346e+00 
 1.23000000e-01  0.00000000e+00  1.79787131e+00 
 1.24000000e-01  0.00000000e+00  1.79792779e+00 
 1.25000000e-01  0.00000000e+00  1.79798291e+00 
 1.26000000e-01  0.00000000e+00  1.79803671e+00 
 1.27000000e-01  0.00000000e+00  1.79808922e+00 
 1.28000000e-01  0.00000000e+00  1.79814046e+00 
 1.29000000e-01  0.00000000e+00  1.79819045e+00 
 1.30000000e-01  0.00000000e+00  1.79823921e+00 
 1.31000000e-01  0.00000000e+00  1.79828678e+00 
 1.32000000e-01  0.00000000e+00  1.79833317e+00 
 1.33000000e-01  0.00000000e+00  1.79837840e+00 
 1.34000000e-01  0.00000000e+00  1.79842250e+00 
 1.35000000e-01  0.00000000e+00  1.79846550e+00 
 1.36000000e-01  0.00000000e+00  1.79850742e+00 
 1.37000000e-01  0.00000000e+00  1.79854826e+00 
 1.38000000e-01  0.00000000e+00  1.79858806e+00 
 1.39000000e-01  0.00000000e+00  1.79862684e+00 
 1.40000000e-01  0.00000000e+00  1.79866462e+00 
 1.41000000e-01  0.00000000e+00  1.79870141e+00 
 1.42000000e-01  0.00000000e+00  1.79873725e+00 
 1.43000000e-01  0.00000000e+00  1.79877214e+00 
 1.44000000e-01  0.00000000e+00  1.79880610e+00 
 1.45000000e-01  0.00000000e+00  1.79883916e+00 
 1.46000000e-01  0.00000000e+00  1.79887133e+00 
 1.47000000e-01  0.00000000e+00  1.79890263e+00 
 1.48000000e-01  0.00000000e+00  1.79893308e+00 
 1.49000000e-01  0.00000000e+00  1.79896270e+00 
 1.50000000e-01  0.00000000e+00  1.79899150e+00 
 1.51000000e-01  0.00000000e+00  1.79901950e+00 
 1.52000000e-01  0.00000000e+00  1.79904672e+00 
 1.53000000e-01  0.00000000e+00  1.79907318e+00 
 1.54000000e-01  0.00000000e+00  1.79909889e+00 
 1.55000000e-01  0.00000000e+00  1.79912387e+00 
 1.56000000e-01  0.00000000e+00  1.79914814e+00 
 1.57000000e-01  0.00000000e+00  1.79917170e+00 
 1.58000000e-01  0.00000000e+00  1.79919459e+00 
 1.59000000e-01  0.00000000e+00  1.79921680e+00 
 1.60000000e-01  0.00000000e+00  1.79923837e+00 
 1.61000000e-01  0.00000000e+00  1.79925929e+00 
 1.62000000e-01  0.00000000e+00  1.79927960e+00 
 1.63000000e-01  0.00000000e+00  1.79929930e+00 
 1.64000000e-01  0.00000000e+00  1.79931841e+00 
 1.65000000e-01  0.00000000e+00  1.79933693e+00 
 1.66000000e-01  0.00000000e+00  1.79935490e+00 
 1.67000000e-01  0.00000000e+00  1.79937232e+00 
 1.68000000e-01  0.00000000e+00  1.79938920e+00 
 1.69000000e-01  0.00000000e+00  1.79940556e+00 
 1.70000000e-01  0.00000000e+00  1.79942141e+00 
 1.71000000e-01  0.00000000e+00  1.79943676e+00 
 1.72000000e-01  0.00000000e+00  1.79945163e+00 
 1.73000000e-01  0.00000000e+00  1.79946604e+00 
 1.74000000e-01  0.00000000e+00  1.79947998e+00 
 1.75000000e-01  0.00000000e+00  1.79949349e+00 
 1.76000000e-01  0.00000000e+00  1.79950655e+00 
 1.77000000e-01  0.00000000e+00  1.79951920e+00 
 1.78000000e-01  0.00000000e+00  1.79953144e+00 
 1.79000000e-01  0.00000000e+00  1.79954329e+00 
 1.80000000e-01  0.00000000e+00  1.79955475e+00 
 1.81000000e-01  0.00000000e+00  1.79956583e+00 
 1.82000000e-01  0.00000000e+00  1.79957656e+00 
 1.83000000e-01  0.00000000e+00  1.79958692e+00 
 1.84000000e-01  0.00000000e+00  1.79959695e+00 
 1.85000000e-01  0.00000000e+00  1.79960664e+00 
 1.86000000e-01  0.00000000e+00  1.79961602e+00 
 1.87000000e-01  0.00000000e+00  1.79962508e+00 
 1.88000000e-01  0.00000000e+00  1.79963384e+00 
 1.89000000e-01  0.00000000e+00  1.79964231e+00 
 1.90000000e-01  0.00000000e+00  1.79965049e+00 
 1.91000000e-01  0.00000000e+00  1.79965840e+00 
 1.92000000e-01  0.00000000e+00  1.79966605e+00 
 1.93000000e-01  0.00000000e+00  1.79967343e+00 
 1.94000000e-01  0.00000000e+00  1.79968057e+00 
 1.95000000e-01  0.00000000e+00  1.79968746e+00 
 1.96000000e-01  0.00000000e+00  1.79969413e+00 
 1.97000000e-01  0.00000000e+00  1.79970056e+00 
 1.98000000e-01  0.00000000e+00  1.79970678e+00 
 1.99000000e-01  0.00000000e+00  1.79971279e+00 
 2.00000000e-01  0.00000000e+00  1.79971859e+00 
 2.01000000e-01  0.00000000e+00  1.79972420e+00 
 2.02000000e-01  0.00000000e+00  1.79972962e+00 
 2.03000000e-01  0.00000000e+00  1.79973486e+00 
 2.04000000e-01  0.00000000e+00  1.79973991e+00 
 2.05000000e-01  0.00000000e+00  1.79974480e+00 
 2.06000000e-01  0.00000000e+00  1.79974952e+00 
 2.07000000e-01  0.00000000e+00  1.79975407e+00 
 2.08000000e-01  0.00000000e+00  1.79975848e+00 
 2.09000000e-01  0.00000000e+00  1.79976273e+00 
 2.10000000e-01  0.00000000e+00  1.79976684e+00 
 2.11000000e-01  0.00000000e+00  1.79977082e+00 
 2.12000000e-01  0.00000000e+00  1.79977465e+00 
 2.13000000e-01  0.00000000e+00  1.79977836e+00 
 2.14000000e-01  0.00000000e+00  1.79978195e+00 
 2.15000000e-01  0.00000000e+00  1.79978541e+00 
 2.16000000e-01  0.00000000e+00  1.79978876e+00 
 2.17000000e-01  0.00000000e+00  1.79979199e+00 
 2.18000000e-01  0.00000000e+00  1.79979512e+00 
 2.19000000e-01  0.00000000e+00  1.79979814e+00 
 2.20000000e-01  0.00000000e+00  1.79980106e+00 
 2.21000000e-01  0.00000000e+00  1.79980388e+00 
 2.22000000e-01  0.00000000e+00  1.79980661e+00 
 2.23000000e-01  0.00000000e+00  1.79980925e+00 
 2.24000000e-01  0.00000000e+00  1.79981180e+00 
 2.25000000e-01  0.00000000e+00  1.79981426e+00 
 2.26000000e-01  0.00000000e+00  1.79981665e+00 
 2.27000000e-01  0.00000000e+00  1.79981895e+00 
 2.28000000e-01  0.00000000e+00  1.79982118e+00 
 2.29000000e-01  0.00000000e+00  1.79982334e+00 
 2.30000000e-01  0.00000000e+00  1.79982542e+00 
 2.31000000e-01  0.00000000e+00  1.79982744e+00 
 2.32000000e-01  0.00000000e+00  1.79982939e+00 
 2.33000000e-01  0.00000000e+00  1.79983127e+00 
 2.34000000e-01  0.00000000e+00  1.79983310e+00 
 2.35000000e-01  0.00000000e+00  1.79983487e+00 
 2.36000000e-01  0.00000000e+00  1.79983657e+00 
 2.37000000e-01  0.00000000e+00  1.79983823e+00 
 2.38000000e-01  0.00000000e+00  1.79983983e+00 
 2.39000000e-01  0.00000000e+00  1.79984137e+00 
 2.40000000e-01  0.00000000e+00  1.79984287e+00 
 2.41000000e-01  0.00000000e+00  1.79984432e+00 
 2.42000000e-01  0.00000000e+00  1.79984572e+00 
 2.43000000e-01  0.00000000e+00  1.79984708e+00 
 2.44000000e-01  0.00000000e+00  1.79984839e+00 
 2.45000000e-01  0.00000000e+00  1.79984966e+00 
 2.46000000e-01  0.00000000e+00  1.79985089e+00 
 2.47000000e-01  0.00000000e+00  1.79985209e+00 
 2.48000000e-01  0.00000000e+00  1.79985324e+00 
 2.49000000e-01  0.00000000e+00  1.79985436e+00 
 2.50000000e-01  0.00000000e+00  1.79985544e+00 
 2.51000000e-01  0.00000000e+00  1.79985649e+00 
 2.52000000e-01  0.00000000e+00  1.79985750e+00 
 2.53000000e-01  0.00000000e+00  1.79985848e+00 
 2.54000000e-01  0.00000000e+00  1.79985943e+00 
 2.55000000e-01  0.00000000e+00  1.79986035e+00 
 2.56000000e-01  0.00000000e+00  1.79986125e+00 
 2.57000000e-01  0.00000000e+00  1.79986211e+00 
 2.58000000e-01  0.00000000e+00  1.79986295e+00 
 2.59000000e-01  0.00000000e+00  1.79986376e+00 
 2.60000000e-01  0.00000000e+00  1.79986455e+00 
 2.61000000e-01  0.00000000e+00  1.79986531e+00 
 2.62000000e-01  0.00000000e+00  1.79986604e+00 
 2.63000000e-01  0.00000000e+00  1.79986676e+00 
 2.64000000e-01  0.00000000e+00  1.79986745e+00 
 2.65000000e-01  0.00000000e+00  1.79986812e+00 
 2.66000000e-01  0.00000000e+00  1.79986877e+00 
 2.67000000e-01  0.00000000e+00  1.79986939e+00 
 2.68000000e-01  0.00000000e+00  1.79987000e+00 
 2.69000000e-01  0.00000000e+00  1.79987060e+00 
 2.70000000e-01  0.00000000e+00  1.79987117e+00 
 2.71000000e-01  0.00000000e+00  1.79987172e+00 
 2.72000000e-01  0.00000000e+00  1.79987226e+00 
 2.73000000e-01  0.00000000e+00  1.79987278e+00 
 2.74000000e-01  0.00000000e+00  1.79987329e+00 
 2.75000000e-01  0.00000000e+00  1.79987378e+00 
 2.76000000e-01  0.00000000e+00  1.79987425e+00 
 2.77000000e-01  0.00000000e+00  1.79987471e+00 
 2.78000000e-01  0.00000000e+00  1.79987516e+00 
 2.79000000e-01  0.00000000e+00  1.79987558e+00 
 2.80000000e-01  0.00000000e+00  1.79987601e+00 
 2.81000000e-01  0.00000000e+00  1.79987641e+00 
 2.82000000e-01  0.00000000e+00  1.79987680e+00 
 2.83000000e-01  0.00000000e+00  1.79987718e+00 
 2.84000000e-01  0.00000000e+00  1.79987755e+00 
 2.85000000e-01  0.00000000e+00  1.79987791e+00 
 2.86000000e-01  0.00000000e+00  1.79987826e+00 
 2.87000000e-01  0.00000000e+00  1.79987859e+00 
 2.88000000e-01  0.00000000e+00  1.79987892e+00 
 2.89000000e-01  0.00000000e+00  1.79987924e+00 
 2.90000000e-01  0.00000000e+00  1.79987954e+00 
 2.91000000e-01  0.00000000e+00  1.79987984e+00 
 2.92000000e-01  0.00000000e+00  1.79988013e+00 
 2.93000000e-01  0.00000000e+00  1.79988040e+00 
 2.94000000e-01  0.00000000e+00  1.79988067e+00 
 2.95000000e-01  0.00000000e+00  1.79988093e+00 
 2.96000000e-01  0.00000000e+00  1.79988119e+00 
 2.97000000e-01  0.00000000e+00  1.79988144e+00 
 2.98000000e-01  0.00000000e+00  1.79988168e+00 
 2.99000000e-01  0.00000000e+00  1.79988191e+00 
 3.00000000e-01  0.00000000e+00  1.79988213e+00 
 3.01000000e-01  0.00000000e+00  1.79988235e+00 
 3.02000000e-01  0.00000000e+00  1.79988256e+00 
 3.03000000e-01  0.00000000e+00  1.79988276e+00 
 3.04000000e-01  0.00000000e+00  1.79988296e+00 
 3.05000000e-01  0.00000000e+00  1.79988315e+00 
 3.06000000e-01  0.00000000e+00  1.79988334e+00 
 3.07000000e-01  0.00000000e+00  1.79988352e+00 
 3.08000000e-01  0.00000000e+00  1.79988369e+00 
 3.09000000e-01  0.00000000e+00  1.79988386e+00 
 3.10000000e-01  0.00000000e+00  1.79988403e+00 
 3.11000000e-01  0.00000000e+00  1.79988419e+00 
 3.12000000e-01  0.00000000e+00  1.79988434e+00 
 3.13000000e-01  0.00000000e+00  1.79988449e+00 
 3.14000000e-01  0.00000000e+00  1.79988464e+00 
 3.15000000e-01  0.00000000e+00  1.79988478e+00 
 3.16000000e-01  0.00000000e+00  1.79988492e+00 
 3.17000000e-01  0.00000000e+00  1.79988504e+00 
 3.18000000e-01  0.00000000e+00  1.79988518e+00 
 3.19000000e-01  0.00000000e+00  1.79988530e+00 
 3.20000000e-01  0.00000000e+00  1.79988542e+00 
 3.21000000e-01  0.00000000e+00  1.79988554e+00 
 3.22000000e-01  0.00000000e+00  1.79988565e+00 
 3.23000000e-01  0.00000000e+00  1.79988576e+00 
 3.24000000e-01  0.00000000e+00  1.79988587e+00 
 3.25000000e-01  0.00000000e+00  1.79988597e+00 
 3.26000000e-01  0.00000000e+00  1.79988607e+00 
 3.27000000e-01  0.00000000e+00  1.79988616e+00 
 3.28000000e-01  0.00000000e+00  1.79988626e+00 
 3.29000000e-01  0.00000000e+00  1.79988635e+00 
 3.30000000e-01  0.00000000e+00  1.79988644e+00 
 3.31000000e-01  0.00000000e+00  1.79988652e+00 
 3.32000000e-01  0.00000000e+00  1.79988660e+00 
 3.33000000e-01  0.00000000e+00  1.79988669e+00 
 3.34000000e-01  0.00000000e+00  1.79988677e+00 
 3.35000000e-01  0.00000000e+00  1.79988684e+00 
 3.36000000e-01  0.00000000e+00  1.79988691e+00 
 3.37000000e-01  0.00000000e+00  1.79988698e+00 
 3.38000000e-01  0.00000000e+00  1.79988705e+00 
 3.39000000e-01  0.00000000e+00  1.79988711e+00 
 3.40000000e-01  0.00000000e+00  1.79988718e+00 
 3.41000000e-01  0.00000000e+00  1.79988724e+00 
 3.42000000e-01  0.00000000e+00  1.79988730e+00 
 3.43000000e-01  0.00000000e+00  1.79988736e+00 
